,incl [deg],c,b,R^2
0,1,136.0255884,-0.862391262,0.989570329
1,1.1,117.7245375,-0.841502038,0.986714128
2,1.2,102.8706257,-0.821839874,0.983875949
3,1.3,110.0731637,-0.830000437,0.98672163
4,1.4,99.25556974,-0.814482126,0.984926156
5,1.5,90.49221936,-0.800428047,0.983354128
6,1.6,83.40783658,-0.787804221,0.982073672
7,1.7,77.48756235,-0.776204595,0.981033939
8,1.8,64.21583448,-0.748629089,0.976272651
9,1.9,60.81649145,-0.739567796,0.975814188
10,2,57.90875354,-0.731148408,0.975664961
11,2.1,50.67112508,-0.710765788,0.972719687
12,2.2,49.30431036,-0.705138183,0.973629943
13,2.3,44.38565562,-0.688524766,0.971817313
14,2.4,44.07231005,-0.68551373,0.973758485
15,2.5,40.26827967,-0.670884593,0.972499908
16,2.6,37.84481059,-0.659968185,0.972619313
17,2.7,36.02534405,-0.650756864,0.973299169
18,2.8,34.51939313,-0.642425667,0.974213119
19,2.9,33.67094619,-0.636483022,0.975890757
20,3,32.88874354,-0.630753433,0.977461614
21,3.1,32.23312882,-0.625473566,0.97906998
22,3.2,32.3136821,-0.62319981,0.981501675
23,3.3,32.23397627,-0.620300613,0.983496901
24,3.4,32.57776329,-0.619181263,0.985742842
25,3.5,32.5827533,-0.616703995,0.987408221
26,3.6,33.26149378,-0.616944498,0.989487925
27,3.7,34.38470875,-0.618894658,0.991574485
28,3.8,35.08967406,-0.619155231,0.993051002
29,3.9,36.0519541,-0.620367349,0.99440467
30,4,37.26306981,-0.622408329,0.995578569
31,4.1,36.15094723,-0.615731656,0.995896153
32,4.2,37.18724756,-0.617185164,0.996694805
33,4.3,38.28656399,-0.618795978,0.997309665
34,4.4,39.51598554,-0.620770342,0.997749385
35,4.5,40.14584693,-0.620620405,0.998002372
36,4.6,43.67226082,-0.629896264,0.998003821
37,4.7,44.97881408,-0.63166137,0.997930582
38,4.8,45.32814057,-0.630526468,0.99794834
39,4.9,46.53387736,-0.631901879,0.997762055
40,5,49.69598254,-0.638787792,0.997109666
41,5.1,50.2207957,-0.638115579,0.997015495
42,5.2,52.85415552,-0.64306852,0.99635406
43,5.3,53.69372724,-0.64314626,0.996144157
44,5.4,55.2717771,-0.645155753,0.995781958
45,5.5,58.35091571,-0.650611022,0.994928507
46,5.6,59.82997661,-0.652122413,0.994603558
47,5.7,61.47531303,-0.65394798,0.994253363
48,5.8,66.00863103,-0.661858865,0.992981579
49,5.9,66.97418252,-0.662010988,0.992921109
50,6,69.54232479,-0.665412334,0.992402132
51,6.1,70.34896501,-0.6652174,0.992489051
52,6.2,72.72003608,-0.668039675,0.992103758
53,6.3,77.94158606,-0.675873459,0.990860873
54,6.4,79.6827141,-0.677239875,0.990798872
55,6.5,82.75996418,-0.680834343,0.990377304
56,6.6,83.46397465,-0.680379728,0.990711301
57,6.7,88.48552846,-0.686860927,0.989818995
58,6.8,90.80347986,-0.688870411,0.989778592
59,6.9,92.10517568,-0.689308461,0.990057578
60,7,95.5989505,-0.692954649,0.989777781
61,7.1,97.68417237,-0.694474381,0.98992236
62,7.2,103.8139788,-0.701403024,0.989022391
63,7.3,104.1873092,-0.700512905,0.989698434
64,7.4,108.2600334,-0.704398583,0.989432397
65,7.5,114.288914,-0.710505736,0.988760514
66,7.6,115.4908995,-0.710627926,0.989281946
67,7.7,118.3618193,-0.71272237,0.989428671
68,7.8,124.4159813,-0.718311861,0.988897958
69,7.9,124.909642,-0.717622002,0.989603278
70,8,128.5263521,-0.720331709,0.989650221
71,8.1,134.8133102,-0.725695895,0.989182981
72,8.2,139.5506662,-0.729272431,0.989061893
73,8.3,141.8752396,-0.730398679,0.989411803
74,8.4,146.7708451,-0.733941837,0.98930257
75,8.5,148.6855254,-0.734632782,0.989727942
76,8.6,150.0597815,-0.734821094,0.990232438
77,8.7,153.0053529,-0.736446117,0.990459726
78,8.8,159.9386066,-0.741489622,0.990021039
79,8.9,163.0280284,-0.743101046,0.990205331
80,9,169.4992631,-0.747453452,0.989877139
81,9.1,173.6634813,-0.749809965,0.989907434
82,9.2,172.6872132,-0.748099121,0.990689346
83,9.3,183.240776,-0.755284182,0.989809838
84,9.4,181.7583632,-0.753270786,0.990670549
85,9.5,191.2712401,-0.759347381,0.989982009
86,9.6,187.8947162,-0.756038886,0.991059597
87,9.7,195.2483486,-0.760431373,0.99072556
88,9.8,197.6502473,-0.761258347,0.991017209
89,9.9,203.9184744,-0.764697186,0.990845005
90,10,204.7696184,-0.764447833,0.99131364
91,10.1,215.4389828,-0.770594811,0.990634786
92,10.2,215.7956221,-0.770026815,0.991162393
93,10.3,223.0297196,-0.773772404,0.990893618
94,10.4,224.8755908,-0.774137509,0.991225763
95,10.5,228.8568095,-0.77579622,0.991308339
96,10.6,237.7688859,-0.780275596,0.990865044
97,10.7,237.560973,-0.779438516,0.991385743
98,10.8,240.9344394,-0.780656391,0.991508232
99,10.9,244.6047383,-0.782031333,0.991599482
100,11,248.2351982,-0.783384345,0.99169689
101,11.1,254.4042146,-0.786064738,0.991498462
102,11.2,263.3494139,-0.790140453,0.991066687
103,11.3,266.4983942,-0.791103507,0.991171906
104,11.4,266.3672665,-0.790414545,0.991551327
105,11.5,272.0297492,-0.79263595,0.991426612
106,11.6,282.2921145,-0.797100903,0.990974737
107,11.7,288.0498797,-0.799245257,0.990939234
108,11.8,288.2860156,-0.798758524,0.991367128
109,11.9,296.6522889,-0.802082078,0.991115832
110,12,302.6774415,-0.804245312,0.991106083
111,12.1,305.8437285,-0.805077677,0.991245297
112,12.2,309.7711491,-0.806268211,0.991408608
113,12.3,314.2150668,-0.807666939,0.991505173
114,12.4,318.801016,-0.809078804,0.991580953
115,12.5,321.8874785,-0.809859626,0.99172147
116,12.6,323.0920703,-0.80985318,0.992068349
117,12.7,331.3757418,-0.812797839,0.9918898
118,12.8,331.6189623,-0.812380323,0.992201107
119,12.9,338.1653339,-0.814540005,0.992111024
120,13,344.1508865,-0.816429165,0.992028749
121,13.1,344.5784963,-0.816124716,0.992365971
122,13.2,359.5673947,-0.821450061,0.991699264
123,13.3,355.7476572,-0.819550954,0.992217835
124,13.4,359.8153187,-0.820639129,0.992259256
125,13.5,365.5819851,-0.822363223,0.992168357
126,13.6,375.9974005,-0.825755039,0.991838576
127,13.7,369.9888873,-0.823118464,0.992519065
128,13.8,384.7821918,-0.828013304,0.991907856
129,13.9,383.6106092,-0.827214215,0.992371051
130,14,387.9869417,-0.828330639,0.992432102
131,14.1,392.8054072,-0.829604024,0.992500008
132,14.2,398.2056889,-0.831060927,0.992538327
133,14.3,403.6003391,-0.832454088,0.992541232
134,14.4,407.2590137,-0.83333258,0.992723859
135,14.5,410.6180895,-0.834070714,0.992892551
136,14.6,418.5344093,-0.836293919,0.992782746
137,14.7,417.9376732,-0.835747073,0.993164593
138,14.8,423.6200777,-0.837185419,0.993104805
139,14.9,423.6603433,-0.836896576,0.993445054
140,15,425.9264851,-0.837247889,0.993587266
141,15.1,437.5618431,-0.840542401,0.993277532
142,15.2,439.4549307,-0.840773307,0.993453528
143,15.3,440.8638695,-0.840855574,0.993563766
144,15.4,449.5049382,-0.843183964,0.993362355
145,15.5,448.8689843,-0.842690527,0.993636762
146,15.6,453.3035883,-0.843680509,0.993638523
147,15.7,455.2490768,-0.843886349,0.993804464
148,15.8,463.3724616,-0.845993284,0.993684872
149,15.9,472.8513734,-0.848445382,0.993490942
150,16,475.9424087,-0.848995995,0.993576494
151,16.1,476.0721055,-0.848717041,0.993791243
152,16.2,489.3243254,-0.852170036,0.993594331
153,16.3,489.5052283,-0.8518948,0.993790352
154,16.4,494.0436475,-0.852879514,0.993801991
155,16.5,499.0764079,-0.853982138,0.99385011
156,16.6,501.8910681,-0.854436015,0.994055176
157,16.7,507.2927537,-0.855616098,0.994065352
158,16.8,508.666423,-0.855710645,0.994146878
159,16.9,514.0729058,-0.85684593,0.994187514
160,17,522.9474448,-0.858899675,0.994089021
161,17.1,524.9027546,-0.85913899,0.994163661
162,17.2,521.7641888,-0.858072706,0.994497857
163,17.3,530.0364786,-0.859957803,0.99435046
164,17.4,538.785134,-0.861904909,0.994229055
165,17.5,537.6124409,-0.861371532,0.994415976
166,17.6,547.6502328,-0.863683908,0.994251853
167,17.7,546.2548036,-0.863016963,0.994478183
168,17.8,550.967038,-0.863950784,0.994432963
169,17.9,557.2504994,-0.865339655,0.994602357
170,18,557.4358246,-0.865217954,0.994720923
171,18.1,560.187312,-0.865618806,0.994885683
172,18.2,558.6643394,-0.865008835,0.995120111
173,18.3,558.6951685,-0.864776366,0.995202709
174,18.4,568.2475057,-0.866946363,0.995251843
175,18.5,568.995261,-0.866970119,0.995338057
176,18.6,566.6343111,-0.866160958,0.995641863
177,18.7,561.4155513,-0.864738276,0.995907886
178,18.8,566.9312976,-0.865910814,0.995982509
179,18.9,565.8195083,-0.865450432,0.996143437
180,19,560.2039417,-0.864032797,0.996461742
181,19.1,562.3184645,-0.864368023,0.996534659
182,19.2,559.7089001,-0.863589014,0.996713163
183,19.3,558.9943281,-0.863245497,0.996871219
184,19.4,559.3602828,-0.863179047,0.996934491
185,19.5,566.1617313,-0.864669041,0.996981582
186,19.6,556.1495557,-0.862159209,0.997230213
187,19.7,560.6791325,-0.863150072,0.997381842
188,19.8,553.8451104,-0.861400941,0.997520681
189,19.9,552.7873885,-0.860921472,0.997698342
190,20,545.4562629,-0.859024087,0.997860671
191,20.1,549.0023097,-0.859722978,0.997949058
192,20.2,547.3159853,-0.859194454,0.998009375
193,20.3,547.2550855,-0.859028905,0.998121345
194,20.4,542.8475995,-0.857799073,0.998277574
195,20.5,547.4976965,-0.858848759,0.998239528
196,20.6,546.7329308,-0.858508299,0.998353457
